id,streetAddress,latitude,longitude,price
448,774 Susan Crossing,28.0003221,-82.5889012,17.7
449,8 Mendota Crossing,60.0785015,15.0265478,27.9
450,41 Starling Street,57.0604037,63.7407347,8.8
451,8067 Esker Pass,48.7699292,30.2154406,14.7
452,34 Transport Lane,8.955271,126.009711,19.7
453,328 Vernon Point,57.7166133,11.9015778,4.6
454,2816 Leroy Terrace,41.1150364,-8.2958281,9.4
455,3 Rigney Junction,12.4830445,15.4390254,6.3
456,248 Mendota Circle,31.2357377,121.5054068,3.5
457,9 Hermina Trail,28.074649,119.141473,26.5
458,9004 Welch Junction,30.167585,120.234391,20.7
459,626 Acker Crossing,45.33333,97.98333,27.7
460,86 Debs Center,7.5245233,-76.317414,23.3
461,32 Banding Plaza,-19.8852788,-43.6644238,22.9
462,94696 Rockefeller Center,14.6489525,2.1450245,6.5
463,57839 Susan Street,-29.5917671,26.667126,11.2
464,9 Gulseth Terrace,-2.4431287,114.2152731,4.3
465,890 Shopko Point,50.1806728,13.3809361,10.0
466,19 Cody Way,32.5496232,131.6597893,1.6
467,016 Goodland Park,6.8072494,29.6788877,22.5
468,4211 Sutherland Park,14.7596318,121.0589081,15.8
469,87 Dixon Trail,50.6657079,18.0732903,28.4
470,5612 Southridge Lane,27.9771813,83.7677148,1.6
471,4943 Autumn Leaf Way,39.7898,116.328689,12.5
472,809 Meadow Ridge Road,4.761738,-74.464018,28.0
473,07049 Golf Course Lane,31.221062,121.436555,4.8
474,485 Hermina Junction,47.3599545,6.3904955,5.4
475,34534 Carioca Avenue,-19.4704956,-42.4548328,21.3
476,78 Bay Park,-9.7085741,124.3032719,5.6
477,9 Buell Parkway,25.8007724,-100.4277766,12.5
478,714 Hoepker Trail,-11.7659957,-75.4723411,23.7
479,708 Kenwood Circle,60.5201867,23.2169967,17.9
480,541 Artisan Pass,-11.0646689,-37.4894776,25.5
481,53909 Hanover Terrace,26.7418451,106.8211843,18.0
482,7 Meadow Valley Junction,35.3226984,136.5846498,17.6
483,8 La Follette Circle,27.758574,117.062372,19.3
484,87 Mccormick Road,49.7192421,18.591659,11.4
